配 件 信 息 一 览 表,,,,,,,,,,,
PEI JIAN XIN XI YI LAN BIAO,,,,,,,,,,,
打印日期：,2017/5/3,,,,,,,,,,
序号,配件编码,类别,单位,重量,一级进价,一级销价,名称,供应商名称,公司名称,定价公司,定价公司
2020,32*52*10YF,油封,只,,0,0,油封,,,01,01
2021,32*52*7YF,油封,只,,0,0,油封,,,01,01
2022,32-0042,空调配件,台,,0,0,可打可吸真空泵,,,01,01
2023,32-0043,空调配件,台,,0,0,可打可吸真空泵,,,01,01
2024,32-0046,空调配件,个,,0,0,调整臂,,,01,01
2025,32-0048,空调配件,个,,0,0,调整臂,,,01,01
2026,32-0049,空调配件,个,,0,0,调整臂,,,01,01
2027,320UPJ,收录机,台,,0,0,收录机,,,01,01
2028,320ZHKG,组合开关,只,,0,0,组合开关,,,01,01
2029,320zp,,片,,1.9,0,专片,,全公司共享,01,01
2030,3218-0001,膨胀阀,只,,0,0,膨胀阀,,,01,01
2031,321DZHKG,组合开关,只,,0,0,组合开关,,,01,01
2032,322AZHKG,组合开关,只,,50,55,组合开关,,,01,01
2033,322B1sdlhdhkg,点火开关,只,,75,85,点火开关,,,01,01
2034,322BZHKG,组合开关,只,,50,55,组合开关,,,01,01
2035,322BZHKG5,组合开关,只,,50,55,组合开关,,,01,01
2036,322D6JHKLZHKG,组合开关,只,,0,0,组合开关,,,01,01
2037,322mdhkg,点火开关,只,,67,70,点火开关,,,01,01
2038,322QQLZHKG,组合开关,只,,47.5,60,组合开关,,,01,01
2039,322QQLZHKG1,组合开关,只,,47.5,60,组合开关,,,01,01
2040,322UPJ,收录机,台,,0,0,收录机,,,01,01
2041,325BZHKG,组合开关,只,,0,0,组合开关,,,01,01
2042,325ZHKG,组合开关,只,,50,33,组合开关,,,01,01
2043,329UPJ,收录机,台,,0,0,收录机,,,01,01
2044,32LTTT,千斤顶,只,,0,0,轮胎套铜,,,01,01
2045,32TQJD1,千斤顶,台,,0,0,千斤顶,,,01,01
2046,3301-0001,收录机,台,,0,0,收录机,,,01,01
2047,330-337AZHKG,组合开关,只,,0,0,组合开关,,,01,01
2048,330-337CZHKG,组合开关,只,,0,0,组合开关,,,01,01
2049,330KTYSJ,压缩机,台,,0,0,压缩机,,,01,01
